rm_key,Loan_Closed_Date,census_block_order_key,foa_mgmt_co_dim_key,owner_key,Principal Program Detail Code,Stmt_date,Financial Rating Letter Grade,DSC_Ratio_II,Current_Ratio,Total Total Funds Flow Prior to CE & D/S (Line 62),Total Replacement Reserve Reimbursements (Line 18A),Total Interest Income Earned on R/R and Special Escrow (Line 78),Total Gross Debt Service - Mortgage (MHFA) (Line 66),Total Gross Debt Service - Energy Loans (Line 68),Total Current Assets (Line 230),Total Current Liabilities (Line 280),Current Portion of Mortgage Payable (Line 251),Notes & Advances - due within 1 year (Line 252),Gross Sf Residential,Gross Sf Residential Communal,Gross Sf Residential Noncommunal,Gross Sf Commercial,Gross Sf Unfinished Space,Gross Sf Parking Structure,Square Footage Net Rentable,Square Footage Residential Net Rentable,Square Footage Commercial Net Rentable,Number Of Buildings,Number Of Predominant Stories,Number Of Elevators,Total Gross Sf Land,Total Gross Sf Buildings,Total Rental Units,Low Income Rental Units,Moderate Income Rental Units,Market Rate Rental Units,Non_revenue Rental Units,Elderly Restricted Rental Units,Unrestricted Rental Units,Student Rental Units,Other Restricted Rental Units,Fully Access Handicapped Rental Units,Partially Access Handicapped Rental Units,Average Bedroom Density,Studio Rental Units,One Bedroom Rental Units,Two Bedroom Rental Units,Three Bedroom Rental Units,Four Bedroom Rental Units,Five Bedroom Rental Units,Six Bedroom Rental Units
697,6/22/1972,48,36,109,S8NCON,12/31/1995,A,1.57,2.76,"448,249","64,391","12,198","236,272",0,"226,001","124,309","42,364",0,"135,968","12,568","123,400",0,0,"4,100","115,800","115,800",0,5,3,0,"308,404","135,968",124,108,15,0,1,0,124,0,0,2,0,1.82,0,34,78,12,0,0,0
698,08/03/1973,321,270,30,SEC236,12/31/1995,B,1.08,0.97,"913,903","214,399","23,386","585,832","42,713","336,204","496,601","149,117",0,"194,703","25,013","169,690","12,000",0,0,"186,643","174,643","12,000",9,7,2,"335,333","206,703",201,75,126,0,0,89,112,0,0,16,0,1.86,0,89,72,20,20,0,0
699,02/07/1972,736,50,37,RADDEC,12/31/1995,C,0.96,0.55,"474,691","65,576","9,494","376,338","40,669","132,247","346,123","65,419","38,125","193,371","24,020","169,351",0,0,"4,835","170,958","170,958",0,33,3,0,"405,108","193,371",204,68,136,0,0,0,204,0,0,10,0,2,0,56,93,55,0,0,0
700,4/15/1975,722,146,16,SEC13A,12/31/1995,F,0.76,0.57,"182,457",0,"13,804","221,022",0,"84,373","186,027","38,136",0,"80,000",0,"80,000",0,0,0,"55,150","55,150",0,1,7,0,0,"80,000",89,23,66,0,0,89,0,0,0,12,0,1.08,0,82,7,0,0,0,0
703,05/09/1972,787,36,109,MISC,12/31/1995,A,1.6,1.39,"637,313","122,061","9,800","316,517",0,"90,397","118,785","53,656",0,"143,686","4,933","138,753",0,0,864,"132,180","132,180",0,5,3,0,"832,867","144,550",132,97,35,0,0,0,132,0,0,0,0,2.09,0,24,72,36,0,0,0
704,7/13/1972,821,148,155,SEC13A,12/31/1995,A,1.28,3.18,"147,854","22,028","12,058","89,020",0,"202,712","79,812","16,009",0,"37,651","7,229","30,422",0,0,462,"31,650","31,650",0,1,5,1,"10,753","38,113",52,0,52,0,0,0,52,0,0,0,0,0.5,28,22,2,0,0,0,0
706,7/20/1972,41,148,111,S8SUBR,12/31/1995,A,1.22,1.74,"117,892","21,140",749,"79,012",0,"33,802","37,006","17,546",0,"32,361",0,"32,361",0,0,"8,309","27,332","27,332",0,2,3,0,"128,502","40,670",33,33,0,0,0,0,33,0,0,0,0,2.33,0,2,20,9,2,0,0
707,12/09/1971,449,277,110,TCRED4,12/31/1995,F,0.85,0.37,"1,691,323","282,044","1,331","1,652,006",0,"426,063","16,324,056","15,175,622",0,"380,643",0,"380,643","8,000",0,0,"276,758","272,158","4,600",2,21,5,"294,768","388,643",448,448,0,0,0,114,334,0,0,3,0,1.56,0,228,188,32,0,0,0
708,7/13/1972,171,149,156,RAD,12/31/1995,C,0.94,0.74,"1,124,507","446,539","46,164","673,836",0,"730,716","1,107,165","120,730",0,"281,000",0,"281,000",0,0,0,"215,075","215,075",0,2,12,4,0,"281,000",250,100,150,0,0,0,250,0,0,0,0,2.07,0,41,150,59,0,0,0
709,02/08/1973,665,87,49,SEC236,12/31/1995,A,1.29,2.42,"468,383",0,"32,979","337,863",0,"735,594","374,969","70,943",0,"104,003",694,"103,309","25,968",0,0,"93,475","71,390","22,085",1,13,3,"22,621","129,971",80,20,10,50,0,0,80,0,0,0,0,1.75,0,20,60,0,0,0,0
712,7/19/1973,1282,113,88,RADDEC,12/31/1995,C,0.54,3.01,"273,539","73,446","2,457","368,061",0,"674,197","309,314","63,252","21,718","201,471","24,159","177,312",0,0,"10,629","184,200","184,200",0,19,2,0,"849,551","212,100",168,72,96,0,0,12,156,0,0,3,0,2.22,0,11,121,24,12,0,0
713,12/28/1971,1055,64,135,S8SUBR,12/31/1995,A,2.36,1.7,"374,403",0,"26,388","147,562",0,"444,345","323,544","61,813",0,"77,083","19,861","57,222",0,"9,817",0,"59,901","59,901",0,2,7,0,"17,045","86,900",71,71,0,0,0,0,71,0,0,4,0,1.69,0,22,49,0,0,0,0
714,12/19/1974,591,93,140,TCRED4,12/31/1995,A,1.15,5.03,"409,648","42,108","6,297","314,641",0,"299,527","125,566","66,052",0,"128,684","11,870","116,814",0,0,0,"117,758","117,758",0,20,2,0,"866,408","128,684",125,32,40,53,0,0,125,0,0,0,3,1.78,0,40,73,12,0,0,0
716,8/23/1973,1205,83,75,SEC236,12/31/1995,B,1.26,0.93,"580,418","175,708","16,734","307,243",0,"141,940","209,802","57,596",0,"127,656","23,719","103,937",0,0,"7,075","123,076","123,076",0,7,5,2,"153,182","127,656",156,39,117,0,0,0,156,0,0,0,0,1.31,18,82,45,11,0,0,0
717,6/14/1972,399,113,88,RADDEC,12/31/1995,D,0.93,0.85,"263,859","100,914","12,976","161,750",0,"98,351","146,308","30,322",0,"93,740","2,500","91,240",460,0,0,"88,599","88,180",419,27,2,0,"528,818","94,200",111,44,66,0,1,0,111,0,0,2,0,1.63,0,51,50,10,0,0,0
718,7/19/1973,1249,148,155,SEC13A,12/31/1995,B,1.22,0.87,"171,845","37,901","1,363","108,561",0,"37,182","68,533","18,718","6,868","54,087","12,294","41,793",0,0,"2,569","40,848","40,848",0,1,5,0,"82,098","54,087",45,11,34,0,0,0,45,0,0,0,0,1.67,0,24,12,9,0,0,0
719,3/14/1973,32,295,24,SEC236,12/31/1995,C,0.3,2.66,"204,463","139,009","6,703","197,485",0,"187,892","104,990","34,370",0,"105,740",0,"105,740",0,0,0,"98,444","98,444",0,21,3,0,"585,446","105,740",112,28,84,0,0,0,112,0,0,1,0,2.03,0,26,63,17,6,0,0
720,02/08/1972,988,223,82,SEC236,12/31/1995,A,1.29,2.33,"484,513","31,827","17,514","336,893",0,"226,588","141,947","44,768",0,"162,537","17,824","144,713",0,"30,503",0,"132,505","132,505",0,12,4,1,"84,240","193,040",149,149,0,0,0,0,149,0,0,0,0,1.79,6,53,71,8,9,1,1
721,11/21/1973,695,26,125,236DEC,12/31/1995,A,1.38,4.26,"669,904","112,400","18,776","390,994",0,"337,409","147,109","67,925",0,"109,030","13,150","95,880",0,0,"12,000","106,812","106,812",0,1,12,2,"74,048","109,030",164,66,98,0,0,164,0,0,0,16,0,0.78,38,124,2,0,0,0,0
